               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083521,            0.021129,           0.0065568,             0.41516,             0.45259,              0.3587,             0.13498,            0.062497,           0.0094929,           0.0006391,            0.070074,           0.0033251,           0.0033251
                   1,            0.062306,            0.017468,          0.00089544,              0.5796,             0.52809,             0.53763,             0.20914,            0.057259,           0.0085997,          0.00064338,            0.039942,           0.0065266,           0.0065266
                   2,            0.058365,             0.01684,          0.00074557,             0.61568,             0.55341,             0.56188,             0.23319,            0.053753,           0.0087879,          0.00054699,           0.0096782,           0.0095961,           0.0095961
                   3,            0.055952,            0.016622,          0.00050538,              0.6408,             0.49818,             0.55187,             0.24517,            0.052146,            0.009216,          0.00033989,            0.009406,            0.009406,            0.009406
                   4,            0.053749,            0.016283,          0.00032863,             0.60907,              0.5903,              0.6118,             0.27455,            0.050361,           0.0088013,          0.00025033,            0.009406,            0.009406,            0.009406
                   5,            0.051902,            0.015894,          0.00026566,              0.7263,             0.62667,             0.68442,             0.31369,            0.049258,           0.0084087,           0.0002204,            0.009208,            0.009208,            0.009208
                   6,            0.050128,            0.015599,          0.00023367,             0.69979,             0.60606,             0.65834,             0.32341,            0.048452,           0.0082337,          0.00018957,             0.00901,             0.00901,             0.00901
                   7,             0.04915,            0.015143,           0.0002014,             0.71913,             0.63622,             0.67624,             0.33808,            0.048093,           0.0079913,          0.00016891,            0.008812,            0.008812,            0.008812
                   8,            0.047818,            0.014875,          0.00018024,             0.79529,             0.65925,             0.73762,             0.37655,            0.046064,           0.0077923,          0.00015312,            0.008614,            0.008614,            0.008614
                   9,            0.046751,            0.014765,          0.00016518,             0.75577,             0.65333,             0.71932,             0.35621,            0.047503,           0.0079782,           0.0001481,            0.008416,            0.008416,            0.008416
                  10,            0.046144,             0.01453,          0.00015926,             0.73698,             0.65211,             0.70375,             0.35591,            0.048649,            0.007814,          0.00014405,            0.008218,            0.008218,            0.008218
